,text,Sentiment,Aggressive
0,I really want a mcplant,Positive: 99.7%,No hate: 78.54%
1,Instant chills,Negative: 63.48%,No hate: 99.54%
2,@GloDAO_Official this is a nice project,Positive: 99.59%,No hate: 99.84%
3,"@chimpthegooner To be honest with you guys, i @Arsenal should go for both Kevin Philips and Raphinha of Leeds Unite… https://t.co/NzDOKrAyyI",Positive: 99.88%,Hate: 95.53%
4,this who she brought 😐 https://t.co/De72Tw05VO,Negative: 61.19%,Hate: 65.33%
5,"@richardaeden Any excuse to drop their name and stir the masses up for a few clicks, eh??  🙄",Negative: 99.28%,No hate: 98.99%
6,@diwatangatin @felipsuperior I'm sure Fred and George wouldn't mind singing the song while inventing magic items. A… https://t.co/sEetHubots,Positive: 99.84%,No hate: 99.65%
7,@jaykinney You are a National treasure,Negative: 50.42%,No hate: 99.83%
8,"I love that Ziam is still trending❤️
If anyone has any questions about Liam Payne and zayn malik pls ask anytime. https://t.co/BOfKLsmY8k",Positive: 99.86%,No hate: 99.67%
9,"hey guys what if i wrote a sequel to that caspian/gill fic? jk jk… unless?

(said fic in question is that bitterswe… https://t.co/VTIkZkF3an",Negative: 81.08%,No hate: 97.86%
10,"@AndrewWarrenFL https://t.co/6BY9qft9Q5
Witness Stephanie Ives and Lewis saw a Nissan drive by first before the Mus… https://t.co/li3fWGRhmg",Positive: 99.84%,No hate: 87.68%
11,"@AndrewYang @Fwd_Party Democrats are responsible for a ""Backward Movement"", or maybe just a bowel movement.",Positive: 97.32%,No hate: 99.16%
12,this butt discussion funny af i cant breath,Positive: 99.77%,No hate: 99.8%
13,if I have a wish I definitely wish for no more traffic,Positive: 99.46%,No hate: 99.12%
14,@justinbieber I don't have @tiktok_us here's the specific video - https://t.co/eu338daRNa,Negative: 62.53%,No hate: 94.65%
15,"@rcklessmichelle Hello Michelle, apologies for any inconvenience caused. I will pass this onto the relevant department. Thanks ^^LC",Positive: 99.7%,No hate: 99.85%
16,@MrBigWhaleREAL #sphynx Is the next big thing in the crypto space⚡🚀a multi chain Dex🔥 with huge ecosystem 🚀🚀 so muc… https://t.co/ZsAU2NuZww,Positive: 99.87%,No hate: 99.7%
17,@jacquie_rn @johnrobertsFox The DumbDems were supposed to wave their magic wands and everything would be Built Back… https://t.co/Dukip36cdU,Positive: 99.6%,No hate: 50.65%
18,I said it last time,Negative: 62.15%,No hate: 99.13%
19,"@tessasmarty @bruce_steiner If feces were gold, Tucker Carlson would be a multi-billionaire!",Negative: 63.94%,No hate: 98.68%
20,@jenn1662 @ComEnjoylife @hawkeyguy @AlloccaMirella @REMMER1551 @Zinaa003 @Not_an_ebug @bobs_hubbell @grampa_x Good… https://t.co/c29BaPRKXP,Positive: 99.86%,No hate: 99.84%
21,"@nchesen1 @joest73 @fredette @AAPSonline I used too.
Great",Positive: 99.89%,No hate: 99.73%
22,"@Space_Apes1
@jonatha31660624
DREAMS DONT WORK UNLESS U DO
AND U DONT WORK UNLESS U HAVE A DREAM.

MY DREAM: GET A… https://t.co/fCIsbjrLPj",Negative: 63.96%,No hate: 90.35%
23,damn who could've seen this coming,Negative: 60.97%,No hate: 97.14%
24,"E-3Ws outsell ICE in May

https://t.co/kRLVAeY6yS",Negative: 65.39%,No hate: 95.4%
25,@ComnSnseisRare @KennethRWebster @amyklobuchar Not to mention for every person like that lady you mentioned who sav… https://t.co/8Zaqj8HUe1,Negative: 63.7%,No hate: 99.65%
26,"Is giving loving today. Good communication has just a path to success? No.
   ك̷و̷د̶⁩ ⁦̸خ̷ص̸م̴⁩  .  
 .._^
ے⁦نون⁩- https://t.co/1hJRyIrdTx",Positive: 99.84%,No hate: 99.82%
